graph_name,motif,sample_size,average_count,standard_deviation,z_score,significance_profile
117503822947457399073_sample_0.1,motif_1,0.1,70.28,12.441596896433083,1.5850055394138016,0.06499901362998432
117503822947457399073_sample_0.1,motif_2,0.1,45.92,12.024003770236712,2.2521616357965333,0.09235821656257863
117503822947457399073_sample_0.1,motif_3,0.1,85.64,16.423763271552595,-3.753098420918299,-0.15390968002935987
117503822947457399073_sample_0.1,motif_4,0.1,7.08,5.081994359173047,4.706813567556245,0.1930202965375955
117503822947457399073_sample_0.1,motif_5,0.1,7.56,5.331353799302137,6.647467291448378,0.2726039791895794
117503822947457399073_sample_0.1,motif_6,0.1,0.32,0.5567764362830022,19.181846256459558,0.7866225418574848
117503822947457399073_sample_0.1,motif_7,0.1,13.16,5.572850856309244,4.636765035752845,0.19014769744552323
117503822947457399073_sample_0.1,motif_8,0.1,1.44,1.781385228784985,-0.8083596836503293,-0.03314977821146916
117503822947457399073_sample_0.1,motif_9,0.1,0.88,1.3638181696985856,6.68710844497371,0.27422961128626866
117503822947457399073_sample_0.1,motif_10,0.1,0.84,1.312757911167681,4.692411256939796,0.19242967652978907
117503822947457399073_sample_0.1,motif_11,0.1,0.92,1.2884098726725126,0.8382425677628395,0.03437523638396908
117503822947457399073_sample_0.1,motif_12,0.1,0.08,0.27688746209726917,6.934225137740306,0.28436354513187095
117503822947457399073_sample_0.1,motif_13,0.1,0.0,0.0,1.0,0.04100869808570105
117503822947457399073_sample_0.2,motif_1,0.2,623.24,51.960144983118234,10.830608732574548,0.18568235217818818
117503822947457399073_sample_0.2,motif_2,0.2,485.28,54.12294645834919,14.905323024510848,0.25554015545246084
117503822947457399073_sample_0.2,motif_3,0.2,429.52,50.96413771794175,-0.618474115552503,-0.010603257062709412
117503822947457399073_sample_0.2,motif_4,0.2,56.28,21.75913601225931,5.869718353157096,0.10063175001047327
117503822947457399073_sample_0.2,motif_5,0.2,63.4,22.360679774997898,7.048086265079337,0.12083395018403731
117503822947457399073_sample_0.2,motif_6,0.2,3.12,2.862399925470467,7.643935358335289,0.13104931885913723
117503822947457399073_sample_0.2,motif_7,0.2,126.72,24.66529275452993,16.350099875702274,0.2803097294187849
117503822947457399073_sample_0.2,motif_8,0.2,5.92,2.5645012510557814,-1.9185016961775634,-0.032891217511410706
117503822947457399073_sample_0.2,motif_9,0.2,6.64,3.2388269481403293,26.66397476085785,0.45713308219925114
117503822947457399073_sample_0.2,motif_10,0.2,8.28,3.9740827033836794,41.70018904209012,0.7149172663141541
117503822947457399073_sample_0.2,motif_11,0.2,7.0,2.692582403567252,2.599734734478726,0.04457042742994545
117503822947457399073_sample_0.2,motif_12,0.2,2.04,2.111081871142535,13.718084739331596,0.23518587963737664
117503822947457399073_sample_0.2,motif_13,0.2,0.0,0.0,2.0,0.0342884424620978
117503822947457399073_sample_0.3,motif_1,0.3,1968.0,159.05475996230564,12.674880025456462,0.06898029935961587
117503822947457399073_sample_0.3,motif_2,0.3,1196.8,80.97273203574974,19.79925784512472,0.10775318823625246
117503822947457399073_sample_0.3,motif_3,0.3,1547.84,135.80061364613442,-5.70571795808712,-0.031052138720043754
117503822947457399073_sample_0.3,motif_4,0.3,167.28,32.810719792978226,15.199910369132784,0.08272223211551459
117503822947457399073_sample_0.3,motif_5,0.3,325.24,68.15746474158205,20.654524127877995,0.11240779041773402
117503822947457399073_sample_0.3,motif_6,0.3,15.48,8.93550968514574,55.45514665198619,0.3018026686960807
117503822947457399073_sample_0.3,motif_7,0.3,402.32,47.86153640102526,14.409900973952565,0.07842277646252288
117503822947457399073_sample_0.3,motif_8,0.3,30.16,6.914236520879704,-4.072756249364923,-0.022165097005706867
117503822947457399073_sample_0.3,motif_9,0.3,20.84,6.768062253456795,19.08374881363294,0.1038591847358103
117503822947457399073_sample_0.3,motif_10,0.3,52.8,15.302505241517375,59.41510789574773,0.32335390322441787
117503822947457399073_sample_0.3,motif_11,0.3,29.68,8.050465825031493,2.151428299483806,0.011708684251928269
117503822947457399073_sample_0.3,motif_12,0.3,9.0,4.752192476461084,68.81034419790885,0.374485449351543
117503822947457399073_sample_0.3,motif_13,0.3,0.48,0.7702813338860895,143.48004441756845,0.7808591794302544
117503822947457399073_sample_0.4,motif_1,0.4,6231.48,261.761201606859,32.58129909110459,0.07756040493172026
117503822947457399073_sample_0.4,motif_2,0.4,3849.96,164.30877436501476,31.03936487694914,0.07388980107723422
117503822947457399073_sample_0.4,motif_3,0.4,5365.8,199.5659874160257,-16.209174929476166,-0.03858625058576931
117503822947457399073_sample_0.4,motif_4,0.4,901.52,124.91467754698272,17.42373308518037,0.04147752947879726
117503822947457399073_sample_0.4,motif_5,0.4,1503.48,149.20487034052653,32.9648756691024,0.07847351630363471
117503822947457399073_sample_0.4,motif_6,0.4,109.6,25.09315975852118,69.51695269893756,0.16548643397773263
117503822947457399073_sample_0.4,motif_7,0.4,1913.92,132.2179135619174,28.62758833527844,0.0681485209443044
117503822947457399073_sample_0.4,motif_8,0.4,168.24,23.731624470313868,-6.962860895034827,-0.01657522338173387
117503822947457399073_sample_0.4,motif_9,0.4,166.48,21.65856258696161,101.96983253771062,0.24274113442590817
117503822947457399073_sample_0.4,motif_10,0.4,294.52,38.94881256213083,137.2950713573037,0.32683354030254796
117503822947457399073_sample_0.4,motif_11,0.4,218.2,29.50988534937629,1.6875700942380165,0.0040172928493049966
117503822947457399073_sample_0.4,motif_12,0.4,90.96,22.753168277553495,85.35250899171987,0.2031832782611018
