graph_name,motif,original_count,average_count,std_dev,z_score,significance_profile
7861312,motif_1,17276,21836.2,618.0570362029706,-7.378283447779447,-0.009068801649944397
7861312,motif_2,20947,22531.28,520.1963988085013,-3.0455420368706094,-0.0037433390631339165
7861312,motif_3,7461,34880.64,789.4120111407815,-34.73425741315464,-0.04269259824015183
7861312,motif_4,20756,6252.84,401.1821780687672,36.15105753155863,0.044434016734353265
7861312,motif_5,21858,6123.96,395.06449684408074,39.82650966029408,0.04895159139318522
7861312,motif_6,13681,571.4,77.99679480594058,168.07870160071647,0.20658902808292506
7861312,motif_7,4685,6071.0,281.14231271724293,-4.9298875953758,-0.0060594273824543495
7861312,motif_8,26,1244.44,54.19031278743462,-22.48446147154415,-0.027636119259232074
7861312,motif_9,4123,609.68,35.82447952634251,98.07037105498158,0.12054033287400233
7861312,motif_10,4168,604.4,45.66636252940086,78.0355562084825,0.09591512523292926
7861312,motif_11,802,946.4,51.93986907954235,-2.7801379279347294,-0.0034171253525798573
7861312,motif_12,5350,255.72,40.578647915703975,125.54090048989801,0.15430493197451428
7861312,motif_13,3071,12.08,3.9572717874818757,772.9870891547931,0.9500945089907652
14203895,motif_1,6436,13912.08,521.572615589942,-14.333727992110806,-0.018085470999562897
14203895,motif_2,9475,14486.0,418.8333001724354,-11.964187178853617,-0.01509572111146468
14203895,motif_3,5189,23931.76,804.0592474024121,-23.310172802004605,-0.02941143116692926
14203895,motif_4,13768,4393.0,246.69177800107838,38.00288795988579,0.0479498514605857
14203895,motif_5,13600,4299.24,304.14885061978015,30.57963224601162,0.03858361568371712
14203895,motif_6,11003,423.0,61.55146897786708,171.8886677392606,0.2168792038793329
14203895,motif_7,1758,3636.2,230.454080747843,-8.149996710429608,-0.01028319563718063
14203895,motif_8,10,808.56,73.44390149404283,-10.873060713758141,-0.013719000690078073
14203895,motif_9,2244,405.28,33.21084160330779,55.365052833134584,0.06985642939185355
14203895,motif_10,2278,408.16,41.64900959206593,44.89518522323281,0.05664615449809528
14203895,motif_11,577,659.44,51.02783554100644,-1.6155888080683045,-0.002038456747024884
14203895,motif_12,4458,202.12,28.343605980891,150.15308930237302,0.18945450503647682
14203895,motif_13,3621,11.28,4.791659420284376,753.334008823559,0.9505133889147137
14338082,motif_1,9659,13618.52,381.1308961498661,-10.388871749833319,-0.020421826664005802
14338082,motif_2,12097,14565.04,377.78625791135744,-6.532900412113704,-0.012841987372838504
14338082,motif_3,7482,22137.08,534.36558334783,-27.425194392545105,-0.053910817228079264
14338082,motif_4,13146,3148.76,249.34886538074855,40.093384763289386,0.07881319297471584
14338082,motif_5,12032,2962.76,284.9674367361997,31.825531028640246,0.06256073747057828
14338082,motif_6,8504,265.24,60.693409856425106,135.74389739329882,0.26683728608999474
14338082,motif_7,2628,2982.24,149.1158051090941,-2.3756033087226096,-0.004669819799628402
14338082,motif_8,26,594.76,43.85419022168805,-12.969342202531886,-0.025494362119787537
14338082,motif_9,1932,235.04,25.700972744236743,66.02707286168891,0.1297920957715862
14338082,motif_10,1495,218.6,28.631276604440814,44.58061781995519,0.08763392903642496
14338082,motif_11,620,354.32,40.85413075810083,6.503136771483486,0.012783479776972782
14338082,motif_12,2511,77.0,17.869900204906948,136.2066923760235,0.2677470209626316
14338082,motif_13,1053,2.72,2.2825424421026654,460.1360222824544,0.9045080462243804
86775971,motif_1,10113,14099.28,370.7171563335045,-10.752887833477727,-0.011272721021054597
86775971,motif_2,16756,15775.72,410.1809072429709,2.389872328746231,0.0025054073338344513
86775971,motif_3,5892,25059.2,617.3063799011529,-31.04973579419214,-0.03255079145303224
86775971,motif_4,27835,8022.36,354.74026648615273,55.85111663880814,0.05855116005427909
86775971,motif_5,20677,7273.8,321.21163843588647,41.72700611119129,0.043744239335487344
86775971,motif_6,27239,1184.6,129.83675648033315,200.67044730855207,0.21037157689274705
86775971,motif_7,6124,7401.64,355.46740122454736,-3.5942536378825922,-0.0037680127577092875
86775971,motif_8,49,1682.52,92.97764964405872,-17.568953466274056,-0.018418299727873545
86775971,motif_9,9099,1294.4,88.57670875198137,88.11119886891733,0.09237081043360293
86775971,motif_10,7338,1202.76,77.65537113855466,79.00599675266957,0.08282543017052428
86775971,motif_11,1603,2049.8,110.20208709457367,-4.054369674655649,-0.004250372454953377
86775971,motif_12,14057,876.24,83.8203833602941,157.2500562702479,0.1648520883255909
86775971,motif_13,11866,69.44,12.990637654351946,908.0816749628974,0.95198160203239
256497288,motif_1,72740,52435.44,887.5352143248552,22.877469729970773,0.011187378339259715
256497288,motif_2,36802,36026.44,646.9211750025397,1.198847757606563,0.000586252045957133
256497288,motif_3,35831,72416.32,1275.5672502851428,-28.681608117346737,-0.014025677016491912
256497288,motif_4,52879,24514.04,563.6945449443342,50.3197347826048,0.024607000581306233
256497288,motif_5,128501,33661.0,741.003430041544,127.98861132759242,0.06258808491231112
256497288,motif_6,79212,5543.4,288.42041074329904,255.42089691275973,0.12490411934728182
256497288,motif_7,65538,29967.28,841.8771446396835,42.25167558768207,0.02066161537295439
256497288,motif_8,138,6628.24,214.65345715051194,-30.23589783345132,-0.014785744773465172
256497288,motif_9,45309,5778.36,188.21372603151627,210.0305904011518,0.10270767289258159
256497288,motif_10,72703,7254.88,245.90637107105078,266.1505666361519,0.1301510664995551
256497288,motif_11,14340,10457.28,363.95438358856643,10.668150117376342,0.005216863269925067
256497288,motif_12,125249,5585.56,262.1400834159731,456.4866175391951,0.22322785506867543
256497288,motif_13,91483,506.8,46.85438435550438,1941.6795514742955,0.9495063926361407
