graph_name,motif,sample_size,average_count,standard_deviation,z_score,significance_profile
256497288,motif_1,72740,52435.44,887.5352143248552,22.877469729970773,0.011187378339259715
256497288,motif_2,36802,36026.44,646.9211750025397,1.198847757606563,0.000586252045957133
256497288,motif_3,35831,72416.32,1275.5672502851428,-28.681608117346737,-0.014025677016491912
256497288,motif_4,52879,24514.04,563.6945449443342,50.3197347826048,0.024607000581306233
256497288,motif_5,128501,33661.0,741.003430041544,127.98861132759242,0.06258808491231112
256497288,motif_6,79212,5543.4,288.42041074329904,255.42089691275973,0.12490411934728182
256497288,motif_7,65538,29967.28,841.8771446396835,42.25167558768207,0.02066161537295439
256497288,motif_8,138,6628.24,214.65345715051194,-30.23589783345132,-0.014785744773465172
256497288,motif_9,45309,5778.36,188.21372603151627,210.0305904011518,0.10270767289258159
256497288,motif_10,72703,7254.88,245.90637107105078,266.1505666361519,0.1301510664995551
256497288,motif_11,14340,10457.28,363.95438358856643,10.668150117376342,0.005216863269925067
256497288,motif_12,125249,5585.56,262.1400834159731,456.4866175391951,0.22322785506867543
256497288,motif_13,91483,506.8,46.85438435550438,1941.6795514742955,0.9495063926361407
256497288_sample_0.4,motif_1,0.4,3532.28,124.3823138553066,6.172260156641603,0.007968547626626521
256497288_sample_0.4,motif_2,0.4,2298.08,99.58242816882907,-0.06105494826549195,-7.88235185730589e-05
256497288_sample_0.4,motif_3,0.4,4899.88,210.27210942015114,-10.80447619165929,-0.013948858429330234
256497288_sample_0.4,motif_4,0.4,1755.08,131.28147876477726,11.935575488203623,0.015409136898840091
256497288_sample_0.4,motif_5,0.4,2497.08,129.48259857345053,53.790394050896865,0.06944479104438829
256497288_sample_0.4,motif_6,0.4,442.2,56.49336244197188,89.26358393306467,0.11524159737962611
256497288_sample_0.4,motif_7,0.4,2199.64,126.77732447090055,16.788175715827848,0.02167396939868114
256497288_sample_0.4,motif_8,0.4,497.72,44.2996613982545,-10.896697283086237,-0.014067918245437362
256497288_sample_0.4,motif_9,0.4,445.12,40.21952262272639,67.12859387531391,0.08666475226717645
256497288_sample_0.4,motif_10,0.4,579.2,39.63899595095718,142.25385544519165,0.18365340951588063
256497288_sample_0.4,motif_11,0.4,843.56,73.14658798148642,3.724575643486683,0.0048085235636350235
256497288_sample_0.4,motif_12,0.4,472.96,61.27430130160604,161.03064074826716,0.2078947253653911
256497288_sample_0.4,motif_13,0.4,43.88,10.967071927669055,733.2969139839748,0.9467052968031351
256497288_sample_0.3,motif_1,0.3,1273.8,71.14246270688132,7.030962676410382,0.022735988942286196
256497288_sample_0.3,motif_2,0.3,1062.4,66.23506120879888,5.54993070575085,0.017946783244883906
256497288_sample_0.3,motif_3,0.3,1938.36,119.09830673299544,-6.527044937278165,-0.021106472662364588
256497288_sample_0.3,motif_4,0.3,681.04,51.70870332932358,24.637245143943645,0.07966933675248572
256497288_sample_0.3,motif_5,0.3,759.64,72.44703812671248,21.606956481259164,0.06987030741644829
256497288_sample_0.3,motif_6,0.3,126.88,20.228527710471994,61.15719432015619,0.1977637142733654
256497288_sample_0.3,motif_7,0.3,762.2,93.36398306270644,17.916973388726255,0.057938027492601
256497288_sample_0.3,motif_8,0.3,169.04,26.983760548398983,-6.227449272631877,-0.02013767165572455
256497288_sample_0.3,motif_9,0.3,149.24,21.33322916641235,68.66096025941353,0.22202860476878195
256497288_sample_0.3,motif_10,0.3,148.56,26.128018166966534,47.743383827600425,0.15438754218018994
256497288_sample_0.3,motif_11,0.3,239.12,29.893310288424065,10.700721897764225,0.034602871034761104
256497288_sample_0.3,motif_12,0.3,114.6,22.212984190933614,94.10712140394047,0.30431372915817345
256497288_sample_0.3,motif_13,0.3,8.92,3.850541087518307,272.7097247199566,0.8818600767843057
256497288_sample_0.2,motif_1,0.2,392.6,35.12121865767189,0.38153573572176935,0.0011620691945570414
256497288_sample_0.2,motif_2,0.2,258.6,22.079402165819616,1.6485953617145306,0.0050212383920313595
256497288_sample_0.2,motif_3,0.2,557.0,45.049047344718254,-5.860279308014102,-0.017849049034582162
256497288_sample_0.2,motif_4,0.2,195.48,24.8396859883534,6.0999160807042125,0.01857892696043213
256497288_sample_0.2,motif_5,0.2,286.24,33.37698808061227,23.06259624567896,0.07024330916974508
256497288_sample_0.2,motif_6,0.2,48.96,12.05363015858708,43.14384904447398,0.13140613896718623
256497288_sample_0.2,motif_7,0.2,267.76,43.88363400327432,4.494614096573753,0.013689550136554018
256497288_sample_0.2,motif_8,0.2,62.56,12.369586357945307,-5.057566048667107,-0.015404170970971735
256497288_sample_0.2,motif_9,0.2,50.48,10.512373661547613,32.86793364888184,0.10010808845953956
256497288_sample_0.2,motif_10,0.2,68.8,10.18577439373168,78.16784166061846,0.23808108204327863
256497288_sample_0.2,motif_11,0.2,103.72,16.764347089383868,0.13600291069157272,0.00041423326332928754
256497288_sample_0.2,motif_12,0.2,54.88,15.791136754521505,58.331456076856156,0.17766406088367895
256497288_sample_0.2,motif_13,0.2,5.92,2.5967928938083094,307.718032464312,0.9372376232596172
256497288_sample_0.1,motif_1,0.1,44.72,8.27909012714159,2.3287583181144265,0.016894656562141338
256497288_sample_0.1,motif_2,0.1,29.76,6.660080079598642,-2.0660412240612613,-0.014988698763727189
256497288_sample_0.1,motif_3,0.1,65.64,11.968291440301744,-1.9752192798710781,-0.014329804475099803
256497288_sample_0.1,motif_4,0.1,26.96,7.294290004288743,2.610260901171363,0.018936899170620098
256497288_sample_0.1,motif_5,0.1,35.0,8.296585643102429,11.209430481479794,0.08132208343334593
